age	mp	msur	mexp	fp	fsur	fexp
0	0.00699	100000	75.9	0.005728	100000	80.81
1	0.000447	99301	75.43	0.000373	99427	80.28
2	0.000301	99257	74.46	0.000241	99390	79.31
3	0.000233	99227	73.48	0.000186	99366	78.32
4	0.000177	99204	72.5	0.00015	99348	77.34
5	0.000161	99186	71.51	0.000133	99333	76.35
6	0.00015	99170	70.53	0.000121	99320	75.36
7	0.000139	99155	69.54	0.000112	99308	74.37
8	0.000123	99141	68.55	0.000104	99296	73.38
9	0.000105	99129	67.55	0.000098	99286	72.39
10	0.000091	99119	66.56	0.000094	99276	71.39
11	0.000096	99110	65.57	0.000098	99267	70.4
12	0.000135	99100	64.57	0.000114	99257	69.41
13	0.000217	99087	63.58	0.000143	99246	68.41
14	0.000332	99065	62.6	0.000183	99232	67.42
15	0.000456	99033	61.62	0.000229	99214	66.44
16	0.000579	98987	60.64	0.000274	99191	65.45
17	0.000709	98930	59.68	0.000314	99164	64.47
18	0.000843	98860	58.72	0.000347	99133	63.49
19	0.000977	98777	57.77	0.000374	99098	62.51
20	0.001118	98680	56.83	0.000402	99061	61.53
21	0.00125	98570	55.89	0.000431	99021	60.56
22	0.001342	98447	54.96	0.000458	98979	59.58
23	0.001382	98314	54.03	0.000482	98933	58.61
24	0.001382	98179	53.11	0.000504	98886	57.64
25	0.00137	98043	52.18	0.000527	98836	56.67
26	0.001364	97909	51.25	0.000551	98784	55.7
27	0.001362	97775	50.32	0.000575	98729	54.73
28	0.001373	97642	49.39	0.000602	98673	53.76
29	0.001393	97508	48.45	0.00063	98613	52.79
30	0.001419	97372	47.52	0.000662	98551	51.82
31	0.001445	97234	46.59	0.000699	98486	50.86
32	0.001478	97093	45.65	0.000739	98417	49.89
33	0.001519	96950	44.72	0.00078	98344	48.93
34	0.001569	96802	43.79	0.000827	98267	47.97
35	0.001631	96651	42.86	0.000879	98186	47.01
36	0.001709	96493	41.93	0.000943	98100	46.05
37	0.001807	96328	41	0.00102	98007	45.09
38	0.001927	96154	40.07	0.001114	97907	44.14
39	0.00207	95969	39.15	0.001224	97798	43.19
40	0.002234	95770	38.23	0.001345	97679	42.24
41	0.00242	95556	37.31	0.001477	97547	41.29
42	0.002628	95325	36.4	0.001624	97403	40.35
43	0.00286	95074	35.5	0.001789	97245	39.42
44	0.003117	94802	34.6	0.001968	97071	38.49
45	0.003396	94507	33.7	0.002161	96880	37.56
46	0.003703	94186	32.82	0.002364	96671	36.64
47	0.004051	93837	31.94	0.002578	96442	35.73
48	0.004444	93457	31.06	0.0028	96193	34.82
49	0.004878	93042	30.2	0.003032	95924	33.92
50	0.005347	92588	29.35	0.003289	95633	33.02
51	0.005838	92093	28.5	0.003559	95319	32.13
52	0.006337	91555	27.66	0.003819	94980	31.24
53	0.006837	90975	26.84	0.004059	94617	30.36
54	0.007347	90353	26.02	0.004296	94233	29.48
55	0.007905	89689	25.21	0.004556	93828	28.6
56	0.008508	88980	24.41	0.004862	93400	27.73
57	0.009116	88223	23.61	0.005222	92946	26.87
58	0.009723	87419	22.82	0.005646	92461	26
59	0.010354	86569	22.04	0.006136	91939	25.15
60	0.011046	85673	21.27	0.006696	91375	24.3
61	0.011835	84726	20.5	0.007315	90763	23.46
62	0.012728	83724	19.74	0.007976	90099	22.63
63	0.013743	82658	18.99	0.008676	89380	21.81
64	0.014885	81522	18.24	0.009435	88605	20.99
65	0.016182	80308	17.51	0.010298	87769	20.19
66	0.017612	79009	16.79	0.011281	86865	19.39
67	0.019138	77617	16.08	0.01237	85885	18.61
68	0.020752	76132	15.39	0.013572	84823	17.84
69	0.022497	74552	14.7	0.014908	83672	17.08
70	0.024488	72875	14.03	0.01644	82424	16.33
71	0.026747	71090	13.37	0.018162	81069	15.59
72	0.029212	69189	12.72	0.020019	79597	14.87
73	0.031885	67168	12.09	0.022003	78003	14.16
74	0.034832	65026	11.47	0.024173	76287	13.47
75	0.038217	62761	10.87	0.026706	74443	12.79
76	0.042059	60363	10.28	0.029603	72455	12.13
77	0.046261	57824	9.71	0.032718	70310	11.48
78	0.050826	55149	9.16	0.036034	68010	10.86
79	0.055865	52346	8.62	0.039683	65559	10.24
80	0.06162	49421	8.1	0.043899	62957	9.65
81	0.068153	46376	7.6	0.048807	60194	9.07
82	0.075349	43215	7.12	0.054374	57256	8.51
83	0.08323	39959	6.66	0.060661	54142	7.97
84	0.091933	36633	6.22	0.067751	50858	7.45
85	0.101625	33266	5.8	0.075729	47412	6.95
86	0.112448	29885	5.4	0.084673	43822	6.48
87	0.124502	26524	5.02	0.094645	40111	6.03
88	0.137837	23222	4.66	0.105694	36315	5.61
89	0.152458	20021	4.33	0.117853	32477	5.22
90	0.168352	16969	4.02	0.131146	28649	4.85
91	0.185486	14112	3.73	0.145585	24892	4.5
92	0.203817	11495	3.46	0.161175	21268	4.19
93	0.223298	9152	3.22	0.17791	17840	3.89
94	0.243867	7108	3	0.195774	14666	3.63
95	0.264277	5375	2.81	0.213849	11795	3.39
96	0.284168	3954	2.64	0.231865	9273	3.18
97	0.303164	2831	2.49	0.249525	7123	2.98
98	0.320876	1972	2.36	0.266514	5345	2.81
99	0.336919	1340	2.24	0.282504	3921	2.65
100	0.353765	888	2.12	0.299455	2813	2.49
101	0.371454	574	2.01	0.317422	1971	2.35
102	0.390026	361	1.9	0.336467	1345	2.21
103	0.409528	220	1.8	0.356655	893	2.07
104	0.430004	130	1.7	0.378055	574	1.94
105	0.451504	74	1.6	0.400738	357	1.82
106	0.474079	41	1.51	0.424782	214	1.7
107	0.497783	21	1.42	0.450269	123	1.59
108	0.522673	11	1.34	0.477285	68	1.48
109	0.548806	5	1.26	0.505922	35	1.38
110	0.576246	2	1.18	0.536278	17	1.28
111	0.605059	1	1.11	0.568454	8	1.19
112	0.635312	0	1.03	0.602561	3	1.1
113	0.667077	0	0.97	0.638715	1	1.02
114	0.700431	0	0.9	0.677038	1	0.94
115	0.735453	0	0.84	0.71766	0	0.87
116	0.772225	0	0.78	0.76072	0	0.79
117	0.810837	0	0.72	0.806363	0	0.73
118	0.851378	0	0.67	0.851378	0	0.67
119	0.893947	0	0.61	0.893947	0	0.61
