sd_onset_control	effect_size	obs_freq	statistical_test	pwr
1	0.00958904109589041	1	t	0.999999999999906
3	0.00958904109589041	1	t	0.861799999999921
7	0.00958904109589041	1	t	0.262099999999987
14	0.00958904109589041	1	t	0.100200000000002
21	0.00958904109589041	1	t	0.0734000000000011
30	0.00958904109589041	1	t	0.0561000000000006
60	0.00958904109589041	1	t	0.0504000000000004
90	0.00958904109589041	1	t	0.0489000000000004
150	0.00958904109589041	1	t	0.0516000000000005
1	0.0191780821917808	1	t	0.999999999999906
3	0.0191780821917808	1	t	0.999999999999906
7	0.0191780821917808	1	t	0.735299999999935
14	0.0191780821917808	1	t	0.253999999999988
21	0.0191780821917808	1	t	0.142800000000001
30	0.0191780821917808	1	t	0.0963000000000017
60	0.0191780821917808	1	t	0.0662000000000009
90	0.0191780821917808	1	t	0.0536000000000005
150	0.0191780821917808	1	t	0.0521000000000005
1	0.0383561643835616	1	t	0.999999999999906
3	0.0383561643835616	1	t	0.999999999999906
7	0.0383561643835616	1	t	0.998899999999906
14	0.0383561643835616	1	t	0.729599999999936
21	0.0383561643835616	1	t	0.412399999999971
30	0.0383561643835616	1	t	0.222699999999992
60	0.0383561643835616	1	t	0.0919000000000016
90	0.0383561643835616	1	t	0.071500000000001
150	0.0383561643835616	1	t	0.0597000000000007
1	0.0575342465753425	1	t	0.999999999999906
3	0.0575342465753425	1	t	0.999999999999906
7	0.0575342465753425	1	t	0.999999999999906
14	0.0575342465753425	1	t	0.96889999999991
21	0.0575342465753425	1	t	0.733599999999936
30	0.0575342465753425	1	t	0.444599999999967
60	0.0575342465753425	1	t	0.137800000000001
90	0.0575342465753425	1	t	0.0912000000000016
150	0.0575342465753425	1	t	0.0614000000000007
1	0.0821917808219178	1	t	0.999999999999906
3	0.0821917808219178	1	t	0.999999999999906
7	0.0821917808219178	1	t	0.999999999999906
14	0.0821917808219178	1	t	0.999599999999906
21	0.0821917808219178	1	t	0.952199999999911
30	0.0821917808219178	1	t	0.717999999999937
60	0.0821917808219178	1	t	0.250299999999989
90	0.0821917808219178	1	t	0.128300000000002
150	0.0821917808219178	1	t	0.0778000000000012
1	0.1	1	t	0.999999999999906
3	0.1	1	t	0.999999999999906
7	0.1	1	t	0.999999999999906
14	0.1	1	t	0.999999999999906
21	0.1	1	t	0.991099999999907
30	0.1	1	t	0.859899999999922
60	0.1	1	t	0.33189999999998
90	0.1	1	t	0.170299999999998
150	0.1	1	t	0.0924000000000016
1	0.3	1	t	0.999999999999906
3	0.3	1	t	0.999999999999906
7	0.3	1	t	0.999999999999906
14	0.3	1	t	0.999999999999906
21	0.3	1	t	0.999999999999906
30	0.3	1	t	0.999999999999906
60	0.3	1	t	0.986399999999908
90	0.3	1	t	0.78609999999993
150	0.3	1	t	0.388899999999973
1	0.5	1	t	0.999999999999906
3	0.5	1	t	0.999999999999906
7	0.5	1	t	0.999999999999906
14	0.5	1	t	0.999999999999906
21	0.5	1	t	0.999999999999906
30	0.5	1	t	0.999999999999906
60	0.5	1	t	0.999999999999906
90	0.5	1	t	0.987899999999908
150	0.5	1	t	0.702699999999939
1	0.7	1	t	0.999999999999906
3	0.7	1	t	0.999999999999906
7	0.7	1	t	0.999999999999906
14	0.7	1	t	0.999999999999906
21	0.7	1	t	0.999999999999906
30	0.7	1	t	0.999999999999906
60	0.7	1	t	0.999999999999906
90	0.7	1	t	0.999199999999906
